Attaching 6 probes...
COMM,PID,RUNQ_MS,TOTAL_MS
chrt,3994,0,11
cat,3995,0,1
fibonacci,4093,21,23
fibonacci,4089,21,24
fibonacci,4086,20,25
fibonacci,4083,19,26
fibonacci,4076,19,28
fibonacci,4072,19,29
fibonacci,4070,18,30
fibonacci,4067,17,31
fibonacci,4064,17,32
fibonacci,4061,16,33
fibonacci,4058,15,34
fibonacci,4055,15,35
fibonacci,4052,14,35
fibonacci,4049,13,36
fibonacci,4046,12,37
fibonacci,4043,12,38
fibonacci,4040,37,39
fibonacci,4037,10,40
fibonacci,4034,9,41
fibonacci,4094,20,22
fibonacci,4090,19,23
fibonacci,4080,20,26
fibonacci,4079,24,26
fibonacci,4078,18,26
fibonacci,4074,18,28
fibonacci,4095,11,22
fibonacci,4068,17,30
fibonacci,4065,16,30
fibonacci,4062,15,31
fibonacci,4060,14,32
fibonacci,4056,32,33
fibonacci,4053,13,34
fibonacci,4050,12,35
fibonacci,4047,11,36
fibonacci,4044,11,37
fibonacci,4041,10,38
fibonacci,4038,9,38
fibonacci,4035,38,39
fibonacci,4031,8,41
fibonacci,4027,7,42
fibonacci,4023,6,43
fibonacci,4019,41,44
fibonacci,4005,40,48
fibonacci,4092,26,28
fibonacci,4088,27,29
fibonacci,4085,28,30
fibonacci,4082,29,31
fibonacci,4077,31,32
fibonacci,4073,32,34
fibonacci,3999,17,53
fibonacci,4002,17,53
fibonacci,4004,17,53
fibonacci,4008,16,52
fibonacci,4010,50,51
fibonacci,4013,16,51
fibonacci,4017,16,50
fibonacci,4020,15,49
fibonacci,4022,15,49
fibonacci,3997,12,55
fibonacci,4024,15,48
fibonacci,4091,30,32
fibonacci,4087,30,33
fibonacci,4084,29,34
fibonacci,4081,28,35
fibonacci,4075,28,37
fibonacci,4071,28,38
fibonacci,4069,27,200
fibonacci,4066,187,201
fibonacci,4063,187,202
fibonacci,4059,186,203
fibonacci,4026,19,313
fibonacci,4030,280,312
fibonacci,4011,278,318
fibonacci,4012,312,318
fibonacci,4015,277,317
fibonacci,4001,311,321
fibonacci,4007,312,319
fibonacci,4057,186,1305
fibonacci,4054,1286,1306
fibonacci,4051,1285,1307
fibonacci,4048,1284,1308
fibonacci,4045,1284,1309
fibonacci,4042,1283,1310
fibonacci,4039,1282,1311
fibonacci,4036,1282,1311
fibonacci,4032,1281,1313
fibonacci,4028,1281,1314
fibonacci,4025,1280,1315
fibonacci,4029,1277,1314
fibonacci,4018,1278,1317
fibonacci,3998,1311,1582
fibonacci,3996,1571,1583
fibonacci,4014,1572,1579
fibonacci,4006,100,2998
fibonacci,4000,2990,3000
fibonacci,4016,2991,2996
fibonacci,4009,2991,2998
fibonacci,4003,2991,2999
fibonacci,4021,2993,2995
fibonacci,4033,2990,2992
test.sh,3993,0,3018
sudo,3992,0,3019
sudo,3991,17,3026



